id,display_name
LCX-USDT,LCX/USDT
MUSD-EUR,MUSD/EUR
MIR-GBP,MIR/GBP
AXS-USDT,AXS/USDT
PERP-USDT,PERP/USDT
BTRST-GBP,BTRST/GBP
ETC-USD,ETC/USD
BAT-ETH,BAT/ETH
OMG-USD,OMG/USD
POLY-USDT,POLY/USDT
RAD-USD,RAD/USD
WLUNA-USD,WLUNA/USD
WLUNA-USDT,WLUNA/USDT
BAT-USD,BAT/USD
BNT-USD,BNT/USD
DOGE-GBP,DOGE/GBP
LRC-BTC,LRC/BTC
SHIB-EUR,SHIB/EUR
TRB-BTC,TRB/BTC
ETH-USDC,ETH/USDC
UST-EUR,UST/EUR
SOL-USD,SOL/USD
KNC-USD,KNC/USD
CRV-USD,CRV/USD
CRV-GBP,CRV/GBP
WCFG-BTC,WCFG/BTC
REP-BTC,REP/BTC
REQ-BTC,REQ/BTC
SUSHI-BTC,SUSHI/BTC
UNI-BTC,UNI/BTC
UMA-GBP,UMA/GBP
DDX-USD,DDX/USD
AUCTION-USDT,AUCTION/USDT
ZEN-USDT,ZEN/USDT
REN-USD,REN/USD
SOL-USDT,SOL/USDT
ATOM-USD,ATOM/USD
PERP-USD,PERP/USD
MANA-ETH,MANA/ETH
DDX-EUR,DDX/EUR
ETH-BTC,ETH/BTC
MASK-USD,MASK/USD
RLY-GBP,RLY/GBP
FIL-USD,FIL/USD
VGX-USDT,VGX/USDT
DOT-BTC,DOT/BTC
SKL-BTC,SKL/BTC
ALCX-USD,ALCX/USD
DOT-USD,DOT/USD
ETC-GBP,ETC/GBP
ZRX-BTC,ZRX/BTC
ADA-BTC,ADA/BTC
USDT-USDC,USDT/USDC
AMP-USD,AMP/USD
DNT-USDC,DNT/USDC
BTC-GBP,BTC/GBP
DOGE-USDT,DOGE/USDT
DOT-GBP,DOT/GBP
GALA-USD,GALA/USD
COMP-USD,COMP/USD
LTC-GBP,LTC/GBP
CGLD-BTC,CGLD/BTC
BAND-EUR,BAND/EUR
XYO-EUR,XYO/EUR
AVAX-BTC,AVAX/BTC
LTC-BTC,LTC/BTC
SNX-BTC,SNX/BTC
OGN-BTC,OGN/BTC
ARPA-EUR,ARPA/EUR
ATOM-BTC,ATOM/BTC
ENS-USDT,ENS/USDT
ETH-DAI,ETH/DAI
POLY-USD,POLY/USD
BOND-USD,BOND/USD
STORJ-USD,STORJ/USD
XTZ-GBP,XTZ/GBP
LTC-USD,LTC/USD
GNT-USDC,GNT/USDC
UNI-EUR,UNI/EUR
REP-USD,REP/USD
ARPA-USD,ARPA/USD
ZRX-USD,ZRX/USD
BNT-EUR,BNT/EUR
USDT-GBP,USDT/GBP
SUKU-EUR,SUKU/EUR
ANKR-EUR,ANKR/EUR
SUKU-USD,SUKU/USD
ENS-EUR,ENS/EUR
BADGER-USDT,BADGER/USDT
BTC-USD,BTC/USD
CLV-GBP,CLV/GBP
DAI-USD,DAI/USD
WCFG-USDT,WCFG/USDT
SHIB-USD,SHIB/USD
FORTH-EUR,FORTH/EUR
MASK-GBP,MASK/GBP
BAND-USD,BAND/USD
REQ-EUR,REQ/EUR
NU-EUR,NU/EUR
CRV-EUR,CRV/EUR
BTC-UST,BTC/UST
NKN-BTC,NKN/BTC
ADA-USDC,ADA/USDC
ALGO-BTC,ALGO/BTC
FORTH-GBP,FORTH/GBP
ZEN-BTC,ZEN/BTC
PAX-USDT,PAX/USDT
AGLD-USD,AGLD/USD
UST-USDT,UST/USDT
UMA-EUR,UMA/EUR
FIL-BTC,FIL/BTC
ARPA-USDT,ARPA/USDT
DOT-EUR,DOT/EUR
LCX-EUR,LCX/EUR
ZEC-USDC,ZEC/USDC
AAVE-EUR,AAVE/EUR
SUSHI-ETH,SUSHI/ETH
CGLD-EUR,CGLD/EUR
MASK-USDT,MASK/USDT
ADA-USD,ADA/USD
ALGO-USD,ALGO/USD
WLUNA-EUR,WLUNA/EUR
BCH-USD,BCH/USD
ANKR-BTC,ANKR/BTC
ASM-USD,ASM/USD
SNX-EUR,SNX/EUR
TRAC-USD,TRAC/USD
BAL-BTC,BAL/BTC
USDT-USD,USDT/USD
AVAX-EUR,AVAX/EUR
ORN-BTC,ORN/BTC
BTC-USDC,BTC/USDC
NMR-EUR,NMR/EUR
FET-USDT,FET/USDT
DOT-USDT,DOT/USDT
BTRST-USD,BTRST/USD
SKL-USD,SKL/USD
LRC-USD,LRC/USD
BTRST-USDT,BTRST/USDT
BTRST-EUR,BTRST/EUR
GTC-USD,GTC/USD
ASM-USDT,ASM/USDT
ALCX-EUR,ALCX/EUR
YFI-BTC,YFI/BTC
NU-GBP,NU/GBP
NU-BTC,NU/BTC
ORN-USDT,ORN/USDT
IOTX-BTC,IOTX/BTC
IOTX-USD,IOTX/USD
BNT-BTC,BNT/BTC
LPT-USD,LPT/USD
RAD-GBP,RAD/GBP
MANA-BTC,MANA/BTC
DOGE-USD,DOGE/USD
ETC-EUR,ETC/EUR
DASH-USD,DASH/USD
BAND-BTC,BAND/BTC
YFI-USD,YFI/USD
WLUNA-GBP,WLUNA/GBP
BTRST-BTC,BTRST/BTC
CLV-USD,CLV/USD
MATIC-EUR,MATIC/EUR
SHIB-GBP,SHIB/GBP
PAX-USD,PAX/USD
XYO-USDT,XYO/USDT
SUKU-USDT,SUKU/USDT
ZRX-EUR,ZRX/EUR
SNX-USD,SNX/USD
SKL-EUR,SKL/EUR
WCFG-EUR,WCFG/EUR
MATIC-BTC,MATIC/BTC
RAD-USDT,RAD/USDT
GALA-EUR,GALA-EUR
POWR-EUR,POWR/EUR
LTC-EUR,LTC/EUR
REQ-USD,REQ/USD
LOOM-USD,LOOM/USD
BCH-GBP,BCH/GBP
REN-BTC,REN/BTC
ENJ-BTC,ENJ/BTC
SUSHI-USD,SUSHI/USD
MATIC-USD,MATIC/USD
POWR-USD,POWR/USD
FX-USD,FX/USD
DAI-USDC,DAI/USDC
MLN-USD,MLN/USD
BAND-GBP,BAND/GBP
LOOM-USDC,LOOM/USDC
SOL-EUR,SOL/EUR
1INCH-BTC,1INCH/BTC
MANA-USDC,MANA/USDC
RLY-USD,RLY/USD
KEEP-USD,KEEP/USD
TRU-USDT,TRU/USDT
ATOM-EUR,ATOM/EUR
SOL-BTC,SOL/BTC
WCFG-GBP,WCFG/GBP
ETH-GBP,ETH/GBP
KNC-BTC,KNC/BTC
XTZ-BTC,XTZ/BTC
RLY-EUR,RLY/EUR
EOS-EUR,EOS/EUR
JASMY-USD,JASMY/USD
UMA-BTC,UMA/BTC
NKN-GBP,NKN/GBP
MANA-EUR,MANA/EUR
BTC-USDT,BTC/USDT
FORTH-BTC,FORTH/BTC
FARM-USD,FARM/USD
CLV-USDT,CLV/USDT
SOL-GBP,SOL/GBP
TRU-BTC,TRU/BTC
STORJ-BTC,STORJ/BTC
IOTX-USDT,IOTX/USDT
QUICK-USD,QUICK/USD
XTZ-EUR,XTZ/EUR
ALGO-EUR,ALGO/EUR
BNT-GBP,BNT/GBP
DASH-BTC,DASH/BTC
UNI-USD,UNI/USD
RAD-BTC,RAD/BTC
CRO-USDT,CRO/USDT
CTSI-BTC,CTSI/BTC
ICP-USD,ICP/USD
ICP-GBP,ICP/GBP
TRU-USD,TRU/USD
LINK-USD,LINK/USD
CLV-EUR,CLV/EUR
ZEC-BTC,ZEC/BTC
BAT-BTC,BAT/BTC
BAT-EUR,BAT/EUR
ANKR-GBP,ANKR/GBP
TRU-EUR,TRU/EUR
AXS-BTC,AXS/BTC
CHZ-EUR,CHZ/EUR
AAVE-GBP,AAVE/GBP
YFII-USD,YFII/USD
EOS-USD,EOS/USD
LINK-BTC,LINK/BTC
CTSI-USD,CTSI/USD
AUCTION-USD,AUCTION/USD
UNI-GBP,UNI/GBP
ENS-USD,ENS/USD
ENJ-USD,ENJ/USD
ADA-GBP,ADA/GBP
CRV-BTC,CRV/BTC
LCX-USD,LCX/USD
MANA-USD,MANA/USD
IOTX-EUR,IOTX/EUR
PERP-EUR,PERP/EUR
BAL-USD,BAL/USD
CHZ-USDT,CHZ/USDT
XTZ-USD,XTZ/USD
TRB-USD,TRB/USD
MASK-EUR,MASK/EUR
GALA-USDT,GALA/USDT
ACH-USD,ACH/USD
AAVE-USD,AAVE/USD
ADA-EUR,ADA/EUR
MIR-EUR,MIR/EUR
USDT-EUR,USDT/EUR
TRIBE-USD,TRIBE/USD
BTC-EUR,BTC/EUR
DDX-USDT,DDX/USDT
AAVE-BTC,AAVE/BTC
WBTC-USD,WBTC/USD
AGLD-USDT,AGLD/USDT
NMR-GBP,NMR/GBP
SUSHI-GBP,SUSHI/GBP
VGX-USD,VGX/USD
CVC-USDC,CVC/USDC
SKL-GBP,SKL/GBP
KRL-USDT,KRL/USDT
RARI-USD,RARI/USD
REQ-USDT,REQ/USDT
ZEN-USD,ZEN/USD
CGLD-GBP,CGLD/GBP
1INCH-GBP,1INCH/GBP
MKR-BTC,MKR/BTC
LINK-GBP,LINK/GBP
BCH-EUR,BCH/EUR
AVAX-USD,AVAX/USD
FET-USD,FET/USD
ETH-USDT,ETH/USDT
REQ-GBP,REQ/GBP
OMG-BTC,OMG/BTC
UST-USD,UST/USD
MUSD-USDT,MUSD/USDT
FIL-GBP,FIL/GBP
ZEC-USD,ZEC/USD
NU-USD,NU/USD
BADGER-EUR,BADGER/EUR
XYO-USD,XYO/USD
ORN-USD,ORN/USD
DNT-USD,DNT/USD
RLY-USDT,RLY/USDT
CRO-USD,CRO/USD
BCH-BTC,BCH/BTC
DOGE-BTC,DOGE/BTC
NKN-USD,NKN/USD
GRT-USD,GRT/USD
1INCH-EUR,1INCH/EUR
NKN-EUR,NKN/EUR
RLC-USD,RLC/USD
MUSD-USD,MUSD/USD
OXT-USD,OXT/USD
WLUNA-BTC,WLUNA/BTC
OGN-USD,OGN/USD
ETH-EUR,ETH/EUR
XLM-USD,XLM/USD
BADGER-USD,BADGER/USD
AVAX-USDT,AVAX/USDT
COMP-BTC,COMP/BTC
AXS-USD,AXS/USD
WBTC-BTC,WBTC/BTC
NMR-USD,NMR/USD
LINK-EUR,LINK/EUR
KRL-USD,KRL/USD
ICP-EUR,ICP/EUR
UMA-USD,UMA/USD
FIL-EUR,FIL/EUR
NMR-BTC,NMR/BTC
ETH-USD,ETH/USD
SOL-ETH,SOL/ETH
CHZ-USD,CHZ/USD
FORTH-USD,FORTH/USD
RLC-BTC,RLC/BTC
SHIB-USDT,SHIB/USDT
SNX-GBP,SNX/GBP
XYO-BTC,XYO/BTC
ICP-BTC,ICP/BTC
FARM-USDT,FARM/USDT
CRO-EUR,CRO/EUR
RAI-USD,RAI/USD
OMG-GBP,OMG/GBP
CHZ-GBP,CHZ/GBP
ATOM-GBP,ATOM/GBP
1INCH-USD,1INCH/USD
GRT-BTC,GRT/BTC
USDC-EUR,USDC/EUR
VGX-EUR,VGX/EUR
EOS-BTC,EOS/BTC
OMG-EUR,OMG/EUR
POWR-USDT,POWR/USDT
AUCTION-EUR,AUCTION/EUR
BAT-USDC,BAT/USDC
QNT-USD,QNT/USD
MIR-USD,MIR/USD
ANKR-USD,ANKR/USD
COTI-USD,COTI/USD
MATIC-GBP,MATIC/GBP
USDC-GBP,USDC/GBP
GYEN-USD,GYEN/USD
ALGO-GBP,ALGO/GBP
ICP-USDT,ICP/USDT
GRT-GBP,GRT/GBP
TRAC-USDT,TRAC/USDT
WCFG-USD,WCFG/USD
MIR-BTC,MIR/BTC
PLA-USD,PLA/USD
RAD-EUR,RAD/EUR
ADA-ETH,ADA/ETH
KRL-EUR,KRL/EUR
DOGE-EUR,DOGE/EUR
GRT-EUR,GRT/EUR
TRAC-EUR,TRAC/EUR
CVC-USD,CVC/USD
SUSHI-EUR,SUSHI/EUR
ETC-BTC,ETC/BTC
AXS-EUR,AXS/EUR
ALCX-USDT,ALCX/USDT
MKR-USD,MKR/USD
XLM-EUR,XLM/EUR
XLM-BTC,XLM/BTC
RGT-USD,RGT/USD
LINK-ETH,LINK/ETH
CGLD-USD,CGLD/USD
